cases,deaths,cases_per_million,deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,hdi
55575,2430,1427.623,62.422,38928341,54.422,18.6,2.581,1.337,1803.987,13.64957983,597.029,9.59,10.55620438,32.13925926,37.746,0.5,64.83,0.511
97909,1636,34022.17,568.49,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,50.31536364,2.89,78.57,0.795
111600,2954,2544.979,67.364,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
10645,107,137772.601,1384.844,77265,163.755,30.42988506,8.723994186,5.530219653,18901.21359,13.64957983,109.135,7.97,29,37.8,50.31536364,3.017471698,83.73,0.868
20478,498,623.07,15.152,32866268,23.89,16.8,2.405,1.362,5819.495,13.64957983,276.045,3.94,10.55620438,32.13925926,26.664,3.017471698,61.15,0.581
548,10,5595.948,102.116,97928,231.845,32.1,6.933,4.631,21490.943,13.64957983,191.511,13.17,10.55620438,32.13925926,50.31536364,3.8,77.02,0.778
2054681,51000,45461.792,1128.424,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,50.31536364,5,76.67,0.845
170011,3158,57373.464,1065.728,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
28920,909,1134.123,35.647,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,50.31536364,3.84,83.44,0.944
441659,8348,49038.351,926.896,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,50.31536364,7.37,81.54,0.922
232829,3193,22963.308,314.917,10139175,119.309,32.4,6.018,3.871,15847.419,13.64957983,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
8403,179,21368.195,455.183,393248,39.497,34.3,8.996,5.2,27717.847,13.64957983,235.954,13.17,3.1,20.4,50.31536364,2.9,73.92,0.814
116482,418,68455.08,245.654,1701583,1935.907,32.4,2.372,1.387,43290.705,13.64957983,151.689,16.52,5.8,37.6,50.31536364,2,77.29,0.852
542674,8337,3295.137,50.623,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
2677,30,9315.484,104.395,287371,664.463,39.8,14.952,9.473,16978.068,13.64957983,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
275322,1894,29136.697,200.438,9449321,46.858,40.3,14.799,9.788,17167.967,13.64957983,443.129,5.18,10.5,46.1,50.31536364,11,74.79,0.823
